Conversation ID,Characteristic Value
1,0
2,1
3,3
4,6
5,0
6,0
7,1
8,1
9,2
10,1
11,4
12,8
13,0
14,1
15,5
16,3
17,0
18,1
19,4
20,2
21,0
22,0
23,2
24,3
25,1
26,1
27,1
28,3
29,1
30,1
31,2
32,0
33,2
34,0
35,2
36,1
37,2
38,4
39,28
40,0
41,5
42,2
43,1
44,5
45,0
46,23
47,0
48,4
49,1
50,2
51,2
52,1
53,0
54,1
55,1
56,0
57,6
58,0
59,4
60,2
61,1
62,2
63,9
64,5
65,0
66,5
67,1
68,5
69,1
70,1
71,5
72,0
73,2
74,1
75,1
76,5
77,1
78,4
79,0
80,6
81,0
82,19
83,3
84,0
85,2
86,1
87,0
88,1
89,6
90,3
91,8
92,1
93,23
94,7
95,6
96,1
97,0
98,0
99,0
100,0
101,5
102,0
103,8
104,3
105,0
106,2
107,2
108,7
109,1
110,7
111,0
112,0
113,6
114,0
115,7
116,5
117,2
118,2
119,5
120,1
121,3
122,2
123,9
124,1
125,0
126,0
127,3
128,1
129,1
130,3
131,8
132,5
133,3
134,0
135,2
136,3
137,1
138,2
139,3
140,0
141,3
142,0
143,1
144,3
145,7
146,1
147,1
148,0
149,2
150,3
151,30
152,1
153,0
154,1
155,10
156,1
157,1
158,1
159,0
160,1
161,9
162,2
163,1
164,1
165,2
166,0
167,1
168,1
169,3
170,3
171,0
172,4
173,5
174,1
175,4
176,1
177,1
178,0
179,2
180,1
181,1
182,2
183,1
184,1
185,5
186,0
187,2
188,1
189,1
190,7
191,1
192,1
193,3
194,1
195,5
196,0
197,0
198,32
199,1
200,0
201,2
202,0
203,10
204,2
205,1
206,1
207,3
208,1
209,0
210,3
211,1
212,10
213,0
214,18
215,0
216,1
217,1
218,29
219,2
220,0
221,5
222,24
223,1
224,1
225,12
226,0
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,12
235,2
236,3
237,3
238,11
239,2
240,2
241,0
242,1
243,8
244,8
245,3
246,1
247,3
248,0
249,3
250,1
251,3
252,3
253,4
254,1
255,2
256,0
257,2
258,1
259,1
260,1
261,1
262,2
263,1
264,6
265,6
266,3
267,9
268,1
269,0
270,2
271,5
272,3
273,6
274,1
275,4
276,5
277,2
278,5
279,2
280,3
281,1
282,7
283,16
284,2
285,3
286,0
287,1
288,1
289,9
290,10
291,0
292,0
293,4
294,2
295,0
296,2
297,3
298,1
299,5
300,0
301,0
302,0
303,1
304,1
305,10
306,4
307,5
308,1
309,4
310,1
311,1
312,1
313,2
314,3
315,0
316,2
317,1
318,17
319,1
320,3
321,1
322,1
323,3
324,1
325,0
326,0
327,7
328,1
329,1
330,7
331,1
332,1
333,1
334,6
335,2
336,4
337,3
338,5
339,1
340,0
341,1
342,0
343,1
344,0
345,0
346,4
347,0
348,1
349,1
350,7
351,1
352,16
353,0
354,1
355,4
356,13
357,0
358,7
359,4
360,1
361,6
362,2
363,0
364,1
365,15
366,0
367,2
368,1
369,17
370,1
371,2
372,2
373,0
374,2
375,22
376,0
377,1
378,1
379,2
380,1
381,1
382,1
383,2
384,0
385,0
386,1
387,1
388,0
389,3
390,0
391,0
392,1
393,2
394,15
395,1
396,3
397,0
398,1
399,2
400,1
401,1
402,2
403,10
404,1
405,1
406,1
407,1
408,2
409,1
410,3
411,5
412,1
413,0
414,7
415,2
416,4
417,2
